correlation,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq
0.8373517958002874,0.9746837,0.9630214,0.11885669,0.11450157
0.8513178596028576,0.96960634,0.9700565,0.08221798,0.09972586
0.8521809504289523,0.98414284,0.9691227,0.06798628,0.09517764
0.9410714442674312,0.99430704,0.9778961,0.06430963,0.08788493
0.8079328844692617,0.96970797,0.96767294,0.070448235,0.106673315
0.9135193438590952,0.984587,0.98309267,0.07685608,0.066239744
0.9553454693907015,0.9856039,0.98921037,0.20064518,0.18143752
0.9420486161357786,0.9795926,0.9787391,0.55507684,0.55519855
0.870165064321482,0.9784631,0.9520704,0.10134602,0.17505121
0.8279579362492699,0.94546485,0.9398686,0.14904614,0.15829188
0.9208370064699211,0.97029656,0.9790064,0.13215804,0.096569255
0.8623438906790226,0.97447044,0.9664524,0.10442647,0.14586703
0.8330878775500605,0.9633268,0.9642149,0.10943842,0.110469446
0.947046450077265,0.9968516,0.9975364,0.07412694,0.05137809
0.9780034558085531,0.99990046,0.9990143,0.05478845,0.058219556
0.9701963230976896,0.9948945,0.99483544,0.07136005,0.071154214
0.9335348440215752,0.9941174,0.9930748,0.12706204,0.10766983
0.9251966497914641,0.9835704,0.990191,0.083586454,0.10983767
0.8393985998397762,0.9693832,0.9702437,0.14311323,0.104911394
0.9292214773154365,0.99826115,0.9879006,0.065323494,0.08517263
0.8160046586887455,0.96072596,0.95207787,0.17914553,0.18745789
0.9736256300841009,0.9952599,0.99229515,0.1337567,0.13299084
0.7575557489849198,0.96285594,0.98225665,0.08991316,0.043300528
0.8656915440786473,0.97999007,0.98101234,0.088037916,0.09392939
0.821586111869778,0.95609224,0.9622207,0.10321579,0.055816278
0.9563124719859956,0.9956573,0.98973256,0.111559175,0.13136744
0.9229351520856245,0.9974877,0.98779374,0.06492,0.061668642
0.9423388971422237,0.99306077,0.98883855,0.109726846,0.15788165
0.930017730626837,0.9934723,0.9813739,0.06686896,0.08834201
0.8037808968609435,0.9584061,0.9449918,0.10188546,0.09903981
0.8705371517659444,0.9663534,0.9701457,0.19594958,0.15246296
0.956324117171859,0.9878791,0.98722744,0.26858738,0.2671355
0.7781321956691514,0.98035336,0.96355766,0.048240867,0.05678649
0.9205512966002076,0.97881633,0.9672959,0.30976436,0.31345934
0.9683157002745122,0.9967002,0.99515325,0.11679176,0.07583911
0.836687000846564,0.9819792,0.97801405,0.04511802,0.05827435
0.9537320914131346,0.992507,0.9727353,0.086654484,0.18151341
0.7060267530922805,0.9442516,0.96181077,0.08661963,0.06853398
0.8283072227051558,0.96299267,0.9675289,0.1067837,0.090653084
0.8928289820206373,0.9767345,0.976114,0.12132605,0.14361866
0.8890640086609417,0.9778339,0.972451,0.14691357,0.12837297
0.6723813965410236,0.94740605,0.9608602,0.06787605,0.04383494
0.8807442952001902,0.99046123,0.9908126,0.04499247,0.056899466
