correlation_w0,correlation_w1,correlation_w2,correlation_w3,correlation_a,correlation_sigmasq,mean_correlation_states,median_correlation_states
0.9958703481392557,0.9977911164465786,0.9982713085234093,0.9975030012004802,0.9728185224721184,0.89799741085581,0.8883655,0.897131
0.9971188475390156,0.995390156062425,0.997406962785114,0.9981752701080432,0.9560101854594688,0.9038563169002192,0.8525159,0.88019335
0.9980792316926771,0.9980792316926771,0.9973109243697478,0.9979831932773109,0.9522437516250515,0.9074887755022806,0.86747974,0.8889098
0.9976950780312124,0.9979831932773109,0.9975990396158463,0.9958703481392557,0.9581232335410591,0.903087935779641,0.87375623,0.89822125
0.9978871548619447,0.9963505402160864,0.9981752701080432,0.9977911164465786,0.9543086271328619,0.9106581193049662,0.876752,0.8933224
0.9917406962785112,0.9943337334933974,0.9981752701080432,0.9984633853541416,0.9638895558223289,0.8832172869147659,0.8744946,0.8941759
0.9956782713085233,0.9986554621848739,0.9959663865546219,0.9959663865546219,0.9627370948379351,0.8608403361344538,0.8857561,0.90601385
0.9972148859543817,0.9977911164465786,0.9985594237695078,0.9948139255702281,0.9420832776489878,0.8872400751677143,0.89635694,0.914087
0.997406962785114,0.9936614645858344,0.997406962785114,0.9976950780312124,0.9318061801612536,0.8590981166265353,0.87080634,0.8834
0.9963505402160864,0.9982713085234093,0.9975990396158463,0.9971188475390156,0.9461575681103799,0.9203170294209344,0.8724139,0.8970299
0.9975030012004802,0.9981752701080432,0.9959663865546219,0.9944297719087635,0.9420611224087537,0.9163104588557376,0.8666608,0.8848537
0.9984633853541416,0.9989435774309724,0.9981752701080432,0.9980792316926771,0.9644623777858299,0.9143255096680981,0.86753553,0.8933444
0.9852100840336133,0.9979831932773109,0.99875150060024,0.9961584633853541,0.9604552332956457,0.9015822711427303,0.86883324,0.879205
0.9983673469387755,0.9988475390156061,0.9963505402160864,0.9981752701080432,0.934975752283639,0.8928108382919067,0.8750085,0.9044267
0.9969267707082833,0.99875150060024,0.9959663865546219,0.9978871548619447,0.9543817527010804,0.8871548619447779,0.85560757,0.88331866
0.9954861944777911,0.997406962785114,0.9995198079231692,0.9984633853541416,0.964056760344152,0.831712646401709,0.8649154,0.87645775
0.996734693877551,0.9971188475390156,0.9971188475390156,0.9948139255702281,0.9442016806722688,0.8513325330132053,0.8702443,0.900236
0.9971188475390156,0.9973109243697478,0.9983673469387755,0.9961584633853541,0.9587955670215651,0.9449647068511564,0.88891876,0.90464234
0.9958703481392557,0.9963505402160864,0.9979831932773109,0.9949099639855942,0.9441056422569026,0.921344537815126,0.881467,0.89639723
0.9966386554621849,0.9971188475390156,0.9950060024009604,0.9973109243697478,0.9131396681943588,0.8915206409576848,0.8895878,0.90327954
0.9976950780312124,0.997406962785114,0.9975030012004802,0.9973109243697478,0.9710677329985775,0.8967322147174086,0.88341415,0.9120406
0.9984633853541416,0.996734693877551,0.9985594237695078,0.9962545018007202,0.9646330046719129,0.9013421693394966,0.87363815,0.89425683
0.9976950780312124,0.9977911164465786,0.9964465786314525,0.9963505402160864,0.904249699879952,0.8678511404561824,0.8575557,0.865451
0.9961584633853541,0.9975990396158463,0.9985594237695078,0.99875150060024,0.9310444177671068,0.9148139255702281,0.8719028,0.8840135
0.9970228091236494,0.9985594237695078,0.9968307322929171,0.9975990396158463,0.9210186025650577,0.8595244806474075,0.8678919,0.87968326
0.9972148859543817,0.9978871548619447,0.9957743097238896,0.9973109243697478,0.9390970491747879,0.9004803333637951,0.86201096,0.90063334
0.9964465786314525,0.9976950780312124,0.9982713085234093,0.996734693877551,0.9491956782713085,0.8497959183673469,0.89828247,0.9174589
0.997406962785114,0.9955822328931572,0.9965426170468188,0.9962545018007202,0.9272334561333508,0.8357829251580647,0.882817,0.88894576
0.9979831932773109,0.9966386554621849,0.9975990396158463,0.997406962785114,0.9734687510309149,0.8703690367223429,0.87251264,0.9011503
0.9955822328931572,0.9980792316926771,0.9966386554621849,0.997406962785114,0.9539975990396158,0.8846578631452581,0.86304134,0.87877345
0.9981752701080432,0.9975030012004802,0.9981752701080432,0.9975030012004802,0.9538424866797315,0.9191642916355317,0.869844,0.88422143
0.9971188475390156,0.9981752701080432,0.9990396158463385,0.9981752701080432,0.9488953203507112,0.9372718810145666,0.87106085,0.910097
0.9991356542617047,0.9972148859543817,0.9952941176470588,0.997406962785114,0.9193498045820278,0.8651828377724937,0.8793979,0.9099474
0.9964465786314525,0.9985594237695078,0.9966386554621849,0.9963505402160864,0.9599328515910709,0.9095845392709947,0.87308234,0.9042171
0.9949099639855942,0.9978871548619447,0.9966386554621849,0.9972148859543817,0.9496638122076464,0.8517771619305281,0.8557344,0.87960047
