correlation,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq
0.851783107575225,0.9746837,0.9697504,0.11885669,0.15035412
0.7994876459505836,0.96960634,0.95045006,0.08221798,0.063771404
0.8900393361573445,0.98414284,0.9665201,0.06798628,0.09716693
0.7910601562406249,0.99430704,0.91380847,0.06430963,0.1277862
0.8652931251725008,0.96970797,0.9609869,0.070448235,0.15829131
0.7105854343417374,0.984587,0.91335493,0.07685608,0.117706314
0.9024261697046788,0.9856039,0.9716103,0.20064518,0.27956113
0.8938527594110376,0.9795926,0.95648164,0.55507684,0.355574
0.8465951303805214,0.9784631,0.93313754,0.10134602,0.11691864
0.8079104316417265,0.94546485,0.93340147,0.14904614,0.20585503
0.8900881043524175,0.97029656,0.97055286,0.13215804,0.11018326
0.7232009408037632,0.97447044,0.96877456,0.10442647,0.055267066
0.6839033756135025,0.9633268,0.9661559,0.10943842,0.08590518
0.930938571754287,0.9968516,0.9871709,0.07412694,0.17782114
0.9552523010092038,0.99990046,0.994301,0.05478845,0.10531302
0.9447235548942197,0.9948945,0.9895943,0.07136005,0.08122517
0.7212141168564674,0.9941174,0.96366507,0.12706204,0.18807532
0.8606820347281389,0.9835704,0.98929095,0.083586454,0.080699645
0.8797145908583633,0.9693832,0.9846685,0.14311323,0.112511665
0.9345599942399768,0.99826115,0.995897,0.065323494,0.043171477
0.8458050472201889,0.96072596,0.9464638,0.17914553,0.12897284
0.8500750483001931,0.9952599,0.97872037,0.1337567,0.08344268
0.772064656258625,0.96285594,0.98760974,0.08991316,0.038822938
0.8201405925623703,0.97999007,0.9549247,0.088037916,0.088874005
0.8135518942075767,0.95609224,0.94482964,0.10321579,0.08140839
0.9187518030072119,0.9956573,0.96435624,0.111559175,0.1412757
0.8715415021660086,0.9974877,0.94750446,0.06492,0.08928982
0.8355811983247933,0.99306077,0.95877486,0.109726846,0.18654259
0.9385630182520731,0.9934723,0.9854521,0.06686896,0.10929307
0.43535079740318955,0.9584061,0.9485141,0.10188546,0.072740674
0.8432449089796359,0.9663534,0.9729176,0.19594958,0.09484804
0.9169816519266077,0.9998135,0.9732524,0.17829368,0.17731425
0.7515880623522494,0.98035336,0.9529836,0.048240867,0.048271507
0.940120816483266,0.97881633,0.95427144,0.30976436,0.50204957
0.9314049416197663,0.9967002,0.99401826,0.11679176,0.046492513
