correlation,rmse,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq,generative_mu_x,estimated_mu_x
0.5443455053820215,0.69870347,0.9611305,0.9475458,0.07085304,0.14125262,0.17737187,0.2607049
0.6501210324841299,0.6508333,0.93115824,0.9401622,0.102121845,0.19207473,0.040762052,0.2077459
0.8768537794151177,0.73467773,0.95995235,0.9677444,0.1314148,0.24755728,-0.6910442,-0.93821114
0.8428253873015491,0.49221092,0.9561979,0.9407526,0.08041293,0.117801294,0.92426217,0.6062658
0.9098346153384612,0.8695964,0.9751533,0.97912174,0.20043157,0.20479669,0.8757046,0.6522443
0.5768066912267649,0.5570278,0.932136,0.9452016,0.10233722,0.07788381,-0.14911726,-0.41522697
0.9081921447685791,0.6018408,0.9683527,0.9687173,0.06369313,0.12176698,0.39510047,0.3464141
0.8762825771303084,0.83391607,0.9872458,0.97363394,0.21193163,0.21176025,-0.21406764,-0.57433933
0.8001512006048024,0.44885963,0.92279685,0.93982786,0.07826912,0.093452804,-0.031697787,-0.08519492
0.7727978111912447,0.6886059,0.93256086,0.96568877,0.160125,0.102447204,-0.03551748,-0.32834193
0.7399503198012792,0.5946688,0.9558992,0.93907094,0.08348831,0.14657463,-0.46249187,-0.041228373
0.7667649550598201,0.6326266,0.9470106,0.9687616,0.12201212,0.114901766,0.33586124,0.43898153
0.933136596546386,0.8203991,0.9865268,0.9804775,0.13874981,0.17972939,-0.06461232,-0.19263625
0.9174384217536868,1.1245025,0.98462296,0.9733018,0.48608705,0.5143643,-0.8772522,-0.014898778
0.7833181092724371,0.66273427,0.9545666,0.9575812,0.13624984,0.16007547,0.24977958,0.5352304
0.8009696998787995,1.0220199,0.9604785,0.9721407,0.26784047,0.2317545,-0.5016184,-0.3959606
0.768066528266113,0.7863989,0.95026714,0.96378386,0.093959175,0.13575025,-0.35504133,-0.33338794
0.8267074028296114,0.65408677,0.9369267,0.9467568,0.15919317,0.15687351,0.0056986813,-0.074441455
0.7161765927063707,0.9116034,0.9363535,0.9680375,0.22008368,0.17442039,-1.0679272,-0.7409374
0.8903423133692533,0.7516712,0.9862433,0.9708317,0.15343107,0.29597867,0.64781797,0.5066591
0.8464906819627277,0.60839987,0.95904994,0.95348173,0.07544837,0.13454306,-0.22193277,0.16368519
0.7709523958095832,0.5519682,0.9201084,0.95865285,0.10583509,0.10069672,-0.34900257,0.09702564
0.8091352045408181,0.6220447,0.9746619,0.95773786,0.13707659,0.13477921,0.5693308,0.7542716
0.8174785019140075,0.7000634,0.96692616,0.9597021,0.14736347,0.15342192,-0.0782879,-0.4788874
0.8863013692054768,0.91153103,0.9465095,0.9435503,0.40443906,0.6417754,-0.29934466,-0.15051612
0.8135257821031283,0.8564008,0.90794146,0.94312567,0.36533302,0.36638036,0.096972,0.17328064
0.8761470245880982,0.8464838,0.9924448,0.9784013,0.12993649,0.11371657,0.20584643,0.5408172
0.9299267277069108,0.8428456,0.9926659,0.98202515,0.16614152,0.26426983,0.24996307,-0.52237546
0.8287677630710522,0.5241468,0.93885636,0.9489348,0.109778896,0.14207034,0.33283105,0.4084378
0.9113960615842464,1.2108449,0.9638623,0.97073823,0.55447876,0.5682089,-0.55915016,-0.23964185
0.8082350089400357,0.6653338,0.9627608,0.95669997,0.16337553,0.17582414,0.77937675,0.76175195
0.8529153156612626,0.6870101,0.9660274,0.96304023,0.12645754,0.1482189,-0.47749168,-0.13462906
0.8540108720434882,0.5517032,0.9824252,0.9606336,0.043929864,0.08573746,0.05832234,-0.6118145
0.857571334285337,0.66942054,0.97038144,0.96925884,0.15734655,0.15768,-0.094119236,0.0637814
0.7817722150888603,0.8810401,0.97984475,0.9843658,0.10221573,0.13047102,0.6708253,0.8562672
0.7892589010356041,0.51853377,0.94462013,0.9480516,0.07996757,0.10613863,-0.95995504,-0.42398357
0.8209423114718616,0.74664444,0.98325396,0.94830227,0.10661639,0.124491416,0.53646,-0.10794888
0.8652899571598286,0.73079664,0.96477896,0.9626959,0.10766228,0.114249915,0.08954643,0.3502313
0.8531179724718898,0.865977,0.9502583,0.9550863,0.22584848,0.25511235,0.31756103,0.59063244
0.7045887703550814,0.60133135,0.9467816,0.9349775,0.14046979,0.12074201,0.25213155,-0.21986172
0.860570866283465,0.9040114,0.97342175,0.97403806,0.21461274,0.25961304,-0.026728095,-0.42777094
0.7833480613922456,0.9406166,0.9409366,0.9495236,0.17962547,0.3799792,0.7104656,0.6191482
0.8574129336517345,1.1670871,0.9291382,0.9608095,0.42566952,0.18278718,0.87132734,0.65403765
0.88025574502298,0.6301341,0.9801898,0.97674835,0.09377436,0.10367923,-0.31311,-0.13097611
0.8850844683378732,0.9249058,0.99063575,0.98425615,0.21549402,0.18917815,0.45878112,0.7257782
0.8557081588326353,1.0079929,0.95602185,0.9677892,0.3077702,0.31365418,1.0125535,0.84421843
0.9234798219192876,0.78204644,0.9762438,0.97520685,0.18750179,0.14191596,-0.33626056,-0.08154009
0.7927108828435313,0.705717,0.95583665,0.96828544,0.14912744,0.14568335,0.5541116,0.42223403
0.808999747998992,0.75553524,0.94179267,0.9528432,0.17136005,0.17384417,-0.21401866,-0.34767675
0.8077071028284113,0.57027084,0.97129035,0.9578992,0.0842709,0.11598618,0.17935324,0.25090897
0.9401496165984663,0.98221856,0.9807092,0.97971475,0.22408877,0.29735556,0.6149132,-0.03629278
0.7916178224712899,1.1057763,0.98662686,0.98281693,0.15620455,0.13802156,0.38074788,-0.31288868
0.6218231912927651,0.55081344,0.94118977,0.9258248,0.067223005,0.17330793,-0.028760163,0.16206565
0.6562432649730598,0.6613014,0.9450937,0.9420271,0.13561435,0.11201904,0.20783447,0.19148059
0.8497259909039636,0.71044,0.9733257,0.9554362,0.14087127,0.12600936,0.30834278,0.3478945
0.8877639350557402,1.1175951,0.9719926,0.96593326,0.5135249,0.63775486,-0.2824778,0.15226413
0.821441973767895,0.71484804,0.9533044,0.96012676,0.17963617,0.10335608,0.06964838,0.15107447
0.7796205584822339,0.6867521,0.96896464,0.95885,0.11735011,0.09808172,0.43387374,0.20993654
0.8621072564290255,0.6932318,0.9541863,0.9714335,0.1270498,0.15841426,-0.463899,0.02554692
0.889127236508946,0.8403847,0.9318217,0.94437563,0.37411928,0.4138636,-0.9406859,-0.4715841
0.8541011124044496,0.73609096,0.9778922,0.95540434,0.19958828,0.23905236,-0.4280889,0.12288106
0.8750618362473449,0.8983183,0.97244847,0.95974016,0.20431447,0.34714773,-0.76262814,-0.08768999
0.5909971799887199,0.68448627,0.9424,0.9431633,0.12905507,0.0976751,0.5328073,0.7242321
0.7071442045768183,0.73340863,0.92981154,0.9402336,0.104427665,0.16455545,-0.016254986,0.28151068
0.7118951675806703,0.5655513,0.9446398,0.95588666,0.08200662,0.087755695,0.09930071,0.22396556
0.8876470065880263,0.7772859,0.9474377,0.97515845,0.2143151,0.13063407,0.19809265,0.12770966
0.8409897639590558,0.8852044,0.97152257,0.9571645,0.20939057,0.3943954,0.73468024,0.24604675
0.9234787659150636,0.7612497,0.95416415,0.97005856,0.29130664,0.27242586,0.09355791,-0.14167725
0.8516284305137221,1.2101996,0.96830064,0.9640633,0.30456376,0.63065237,-0.4682442,-0.39976078
0.8911128124512497,0.61494184,0.9746293,0.96739405,0.10571244,0.17396021,0.5597577,-0.045399092
0.881915180826688,0.7157472,0.9719743,0.9804934,0.11475651,0.14841574,0.28512892,-0.13152939
0.8613261973047892,0.57141334,0.9771411,0.9729452,0.078608245,0.114892945,-0.34902963,-0.4024732
0.7720290401161605,0.76187384,0.9195101,0.9429759,0.28977752,0.25373238,0.3028368,0.41726422
0.4980416401665606,0.56395483,0.9481367,0.9366453,0.056716833,0.09813367,0.22341968,0.31903893
0.9586452425809703,0.90158373,0.9931993,0.98925024,0.14020918,0.23449299,0.045138314,-0.09124718
0.8732075888303553,0.6996533,0.9719778,0.96502393,0.12553173,0.11179308,-0.02783999,-0.064843945
0.9142325849303398,0.641182,0.9868274,0.9834768,0.091577955,0.12570281,-1.2537627,-0.3100957
0.8851780687122748,0.9511247,0.9646665,0.9659224,0.26427996,0.33365172,-0.08354975,0.050129786
0.8366777147108587,1.2160538,0.9643134,0.97348917,0.48108554,0.39924392,0.15191177,-0.10545236
0.925202260809043,1.1740654,0.9861468,0.9731068,0.1755306,0.6584415,0.6929135,0.38512227
0.928882339529358,0.88856953,0.9834989,0.96992755,0.27557942,0.4026545,0.7611915,-0.08929958
0.8213285973143892,0.97889346,0.9802501,0.96295184,0.11344329,0.12125285,-1.285725,-1.0607518
0.8110737402949612,0.7727864,0.9701551,0.96465755,0.13378422,0.2602754,0.53682935,0.22234252
0.7798344473377893,0.5697205,0.95258343,0.96664786,0.09577999,0.082025066,-0.47491473,-0.52514905
0.8394484777939111,0.68311596,0.9557675,0.9573456,0.23331209,0.2020181,-0.32663035,0.039587475
0.9115407341629366,1.005472,0.99228334,0.9917479,0.07580507,0.13317174,0.9175822,0.6868272
0.913062340249361,0.89683723,0.96385974,0.98242784,0.18367586,0.16297792,0.8701125,0.21063489
0.9244067056268226,1.1960254,0.9747644,0.98525625,0.32234013,0.2796617,-0.8214915,-0.44642475
0.9303080412321649,0.66546017,0.9944998,0.9757377,0.08584488,0.20302314,0.15532766,-0.03208169
0.9750301081204323,0.6293957,0.99322903,0.98889285,0.1451975,0.16091157,-0.35054788,-0.3898441
0.8821718166872666,0.7705279,0.9722536,0.9704946,0.15038374,0.15522978,1.0059131,0.6340355
0.8865194820779282,1.0280296,0.9836905,0.9822932,0.32978082,0.19495714,0.8544608,0.4552984
0.783690398761595,0.7651701,0.92301893,0.96276456,0.13868652,0.10916024,-0.22196,-0.2804376
0.5406605306421225,0.59704447,0.94776803,0.93292105,0.08217268,0.08474415,0.16225308,-0.1840698
0.8737127428509712,0.8285174,0.9705434,0.95528203,0.19205955,0.1391171,-0.30469394,0.05696056
0.8700223920895683,0.66053516,0.98410213,0.97534883,0.10021156,0.144016,0.15224679,0.71389335
0.7959712478849914,0.646919,0.9610072,0.96474344,0.13967088,0.12840895,-0.05022593,-0.6719274
0.6816323905295621,0.57981837,0.89186096,0.9355468,0.11077016,0.14794718,0.6911726,0.44387746
0.9381385045540181,0.8678092,0.99451596,0.9890026,0.15080775,0.15487842,0.15315926,-0.006242395
0.7488532994131976,0.8859628,0.9407354,0.9496385,0.21124728,0.2680552,-0.085863724,0.5103843
0.8285898743594975,0.52377707,0.9751945,0.95856607,0.09848594,0.11466696,-0.12735234,0.04306467
0.8298558314233256,0.65229326,0.967562,0.9591029,0.07262571,0.16377825,0.052438397,0.2878345
0.7595439981759926,0.9008006,0.9228234,0.95989627,0.30023518,0.1823191,-0.6186461,-0.52716994
0.8988594674378697,0.97259027,0.9798257,0.9780557,0.2212032,0.29443178,-0.3348652,-0.24178988
0.8947476749906998,0.656912,0.98337346,0.9707605,0.1435217,0.1955845,0.29432687,0.36713657
0.7226762987051948,0.64016557,0.9423335,0.9523752,0.12162848,0.11200119,0.12173692,-0.16448238
0.8794237096948387,0.8141585,0.9668351,0.95812285,0.1836623,0.24060725,0.19334419,0.13708504
0.7908041232164928,0.6730447,0.9325231,0.9712493,0.13252874,0.0769776,1.1074411,0.81874067
0.7908327313309254,1.1196619,0.9082826,0.9605974,0.42190465,0.13735883,0.94725657,0.6157451
0.7802630890523562,0.8530793,0.9531788,0.95998305,0.23937507,0.21110001,0.54861647,0.23606482
0.861563126252505,0.88828796,0.96184295,0.95777917,0.23169358,0.27049154,-0.44201306,0.14377043
0.603185964743859,0.59227043,0.9624956,0.95366365,0.06131891,0.07428287,0.23539725,-0.2371617
0.7546594986379945,0.5470748,0.97623384,0.9524351,0.06348583,0.101323836,0.19282536,-0.20764454
0.6039538718154872,0.68727607,0.9614423,0.9630073,0.12122505,0.093594044,0.7366967,0.71370405
0.8401078084312337,0.6753038,0.9492084,0.96399146,0.19789046,0.13325357,0.12861249,0.17657167
0.9497683750735001,0.7769448,0.9653838,0.9682392,0.1960415,0.33594808,0.38812226,0.113836154
0.8328632354529418,0.56721884,0.9831877,0.97400993,0.06137288,0.095127836,-0.04046847,-0.0708257
0.9295276541106164,0.96632665,0.9844866,0.9850126,0.14330126,0.18642059,0.33388287,0.6335816
0.9162604970419882,0.6250186,0.9864927,0.9634273,0.07056443,0.22453488,-0.016117308,-0.15239225
0.8935628382513529,0.9754128,0.9711609,0.95955354,0.3100181,0.53741294,-0.4600701,-0.2766606
0.9178883755535023,0.8005343,0.99258447,0.98510355,0.18822756,0.15018268,-0.15547529,-0.21343897
0.9077473749894999,0.8636754,0.9602967,0.9736998,0.24217382,0.23930214,-0.25171316,0.19514036
0.8290788043152172,0.6698419,0.9835243,0.97671866,0.12652679,0.07080131,0.11236703,-0.1796925
0.8845443701774807,0.7665638,0.98472244,0.96459466,0.13086171,0.10485291,0.04357731,-0.17129765
0.7646088824355297,0.55332345,0.9516821,0.95880914,0.07031743,0.08764406,-0.29676667,-0.29844123
0.6543882495529981,0.69817084,0.9220994,0.9565744,0.15637939,0.06005222,-0.79759353,-0.640558
0.8124088176352705,0.80272526,0.96223927,0.96735954,0.19308895,0.1449867,0.048905652,-0.012375645
0.9299657998631995,1.0518283,0.99484223,0.98570293,0.20053978,0.27805758,-0.15497217,0.28132746
0.8250896043584174,0.73002243,0.9729783,0.96873134,0.099998616,0.10812293,1.0332851,0.52681816
0.814189528758115,0.7907702,0.9652176,0.96707404,0.17301315,0.13344847,0.025700783,0.2491947
0.912317377269509,0.80147225,0.98885226,0.9737928,0.10301653,0.20334162,1.0052458,0.34992042
0.6442582890331561,0.54775125,0.9212794,0.95876366,0.07571131,0.064505026,-0.7290641,-0.5603344
0.7842687050748203,0.5689636,0.9537906,0.9585053,0.07689827,0.1080462,0.09024412,0.109442376
0.8360874083496334,0.61996704,0.9242814,0.95474845,0.18853274,0.19590025,1.2351696,0.56506294
0.7472867651470605,0.8169744,0.976094,0.95445853,0.127373,0.17485727,-0.7416328,-0.23256129
0.8628132432529729,0.74937284,0.9617558,0.96846855,0.15018298,0.23279804,0.17742532,-0.24227968
0.946191592766371,0.76234245,0.98833716,0.9755905,0.23688668,0.34392294,-0.05790395,0.11209118
0.8812258289033156,0.9442701,0.98964775,0.9830036,0.1371361,0.1691425,-0.15216799,0.17502968
0.9475165900663604,1.401745,0.9938882,0.98926884,0.14018326,0.38275322,-0.0434811,0.19408558
0.784131136524546,0.74405164,0.9637971,0.94548845,0.15528537,0.18674092,0.06669989,-0.33318055
0.8659771279085116,0.56438756,0.95263296,0.9625225,0.09339359,0.11214675,0.68744963,0.28271973
0.8515659342637371,0.7992014,0.9696887,0.9828189,0.13581279,0.13870768,0.26090714,-0.030306417
0.9350467161868647,0.9062433,0.98528504,0.9798177,0.12751485,0.16582142,-0.2998143,-0.6450929
0.7565787383149533,0.8301311,0.9678741,0.96400183,0.11611802,0.16567221,-0.17685096,-0.34646735
0.7896390625562502,0.7358352,0.97301656,0.9599363,0.15072517,0.15489957,0.006426793,-0.5200573
0.8655804543218173,0.9485372,0.9919143,0.97566634,0.18802917,0.24193117,-0.0900386,0.29378662
0.875566894267577,0.7630419,0.960512,0.96157646,0.23564398,0.23217076,0.041235764,0.06375654
0.9055161340645361,0.9616484,0.9546793,0.96448004,0.41230172,0.52064687,0.4124723,0.045444567
0.8676219984879939,0.91246265,0.9899397,0.9905501,0.11271932,0.19057032,-1.0394526,-0.6503037
0.8879642878571513,0.7277616,0.992946,0.97163266,0.22687352,0.25152484,-0.25170434,-0.7008069
0.8976440065760264,0.9203857,0.9762126,0.9596465,0.33931407,0.57105947,-0.15404256,0.13425955
0.7984521858087432,0.48183256,0.9586711,0.9605846,0.062884346,0.0755939,-0.8644616,-0.5768845
0.8659319117276469,0.81504685,0.9862433,0.97867125,0.15343107,0.13211566,0.64781797,0.5760989
0.8617429349717399,1.0955051,0.96901345,0.9662007,0.36248302,0.24323645,0.14937304,0.5111285
0.7987401869607479,0.7063911,0.9686221,0.9655587,0.20831968,0.13497822,-1.1552241,-0.05523829
0.9374368377473509,2.0131567,0.97236425,0.9813206,0.35854238,1.0664276,0.89576566,0.24839255
0.6876590066360265,0.58452785,0.9475383,0.950116,0.09445732,0.10251546,-0.0336908,0.34293538
0.6264569378277514,0.7847819,0.9631627,0.96774113,0.07493437,0.09413558,-0.20066729,-0.3022607
0.5784343777375109,0.75634754,0.93147653,0.9535339,0.15128432,0.10263572,-0.488315,-0.17086817
