mu_sigmasq,beta_sigmasq,sigma_mu_x,mu_a,sigma_a,w0,w1,w2,sigma_w0,sigma_w1,sigma_w2,mu_sigmasq_var,beta_sigmasq_var,mu_a_var,sigma_a_var,w0_var,w1_var,w2_var,sigma_w0_var,sigma_w1_var,sigma_w2_var,posterior_q25_mu_sigmasq,posterior_q975_mu_sigmasq,posterior_q25_beta_sigmasq,posterior_q975_beta_sigmasq,posterior_q25_sigma_mu_x,posterior_q975_sigma_mu_x,posterior_q25_mu_a,posterior_q975_mu_a,posterior_q25_sigma_a,posterior_q975_sigma_a,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_sigma_w0,posterior_q975_sigma_w0,posterior_q25_sigma_w1,posterior_q975_sigma_w1,posterior_q25_sigma_w2,posterior_q975_sigma_w2,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,num_trials,num_subjects
0.19687667,0.39458615,0.53117806,0.9625796,0.026104828,-0.23800068,0.25087434,0.16554926,0.9637305,1.005718,0.8305092,0.0006635578,0.0075892806,5.9869504e-05,3.313925e-05,0.018746324,0.020692311,0.015657468,0.009213859,0.010926843,0.0072095054,0.15731450244784356,0.25834384858608245,0.2489412918686867,0.5754298254847526,0.4226002663373947,0.6724646598100662,0.9521431908011436,0.9864106178283691,0.018044967809692024,0.04073401354253292,-0.4989473454654217,0.021463667601346954,-0.03337505459785461,0.5258288070559501,-0.08369228914380074,0.41500190943479537,0.7881940588355064,1.1712409138679505,0.8316459193825722,1.2449052512645722,0.6824942544102669,1.0149380773305892,0.95899105,0.020469286,-0.24254467,0.24467851,0.16960678,0.9450611,0.98341036,0.80987567,2500,50
0.20523268,0.3795267,0.53722477,0.97617394,0.027806593,0.14212172,0.12402772,-0.027221335,1.311357,1.0369707,0.8966153,0.0008739971,0.008358872,7.249393e-05,4.3398173e-05,0.032275796,0.022791533,0.015389743,0.019707136,0.011770648,0.008552664,0.16202649846673012,0.28000652864575387,0.22410451509058477,0.5875157073140143,0.4304247222840786,0.6735564440488814,0.9632998272776604,0.9932760581374168,0.017112871445715428,0.0420081727206707,-0.20410543493926525,0.4858882509171962,-0.18692763969302176,0.4138134330511093,-0.2725133873522282,0.2213746257126331,1.0756506323814392,1.6210038185119628,0.8504526972770691,1.2760912984609603,0.7375409960746765,1.0962272971868514,0.96648526,0.021294855,0.15209645,0.106172234,-0.019978313,1.2545389,1.0140011,0.870367,2500,50
0.22718251,0.27728087,0.5016258,0.9766491,0.028166486,-0.2678284,0.27227712,-0.1453936,0.97932965,0.89808464,0.9739943,0.0015478753,0.0037285583,6.9955786e-05,4.234597e-05,0.018794328,0.01576602,0.017283743,0.010329519,0.009232804,0.009945985,0.1680767670273781,0.31993126422166823,0.18166030198335648,0.41069722548127174,0.40194202214479446,0.6363988637924194,0.9631054997444153,0.9928962394595147,0.01657494283281267,0.04137167306616902,-0.5412138015031814,0.004032489657402017,0.02871194370090962,0.5334830477833747,-0.40214832574129106,0.12027292586863035,0.8084868088364601,1.2041723012924193,0.7271789878606796,1.1199258416891096,0.80273347645998,1.1970153957605363,0.96533996,0.021739185,-0.2643399,0.27240032,-0.1543275,0.9425335,0.868663,0.9426023,2500,50
0.24164473,0.45780107,0.5158304,0.96853775,0.018832503,-0.039384477,0.24753012,-0.105960056,1.0616125,0.89536166,0.95619816,0.0009926388,0.010629098,2.5735e-05,2.3756467e-05,0.021924177,0.016954564,0.018545324,0.011441838,0.008493516,0.009821869,0.1915386024862528,0.3132601298391819,0.2847484454512596,0.6926382482051849,0.4077406920492649,0.641804414987564,0.9610658138990402,0.9817952618002892,0.011972292303107679,0.031216742144897575,-0.3404619127511978,0.2539901636540888,-0.003157563135027884,0.49951324909925443,-0.3865753524005413,0.1686506792902946,0.8713907808065414,1.2819239258766175,0.7403063952922821,1.0970539063215254,0.796567726135254,1.1761660248041153,0.96432483,0.021325931,-0.04267623,0.2438893,-0.113919474,1.0466512,0.8776062,0.9553651,2500,50
0.23553981,0.37138724,0.5146271,0.97567934,0.02449788,-0.14874464,0.47088823,-0.19616054,1.190266,0.80779946,1.0396689,0.0011600362,0.006084244,5.9299357e-05,3.386561e-05,0.028604977,0.013669056,0.022139736,0.014450623,0.006900303,0.012988588,0.1842031106352806,0.3190108612179756,0.23730483688414097,0.5412359431385994,0.40990075245499613,0.644468779861927,0.9640129774808883,0.9932971805334091,0.014386902493424714,0.03644892759621143,-0.4936600081622601,0.19326538890600203,0.24339687563478946,0.6977630078792572,-0.4722580164670944,0.10170163437724113,0.9776017799973488,1.4546982914209363,0.6635134220123291,0.992899003624916,0.8476334273815155,1.298217886686325,0.9699211,0.015988732,-0.14842959,0.4682502,-0.201927,1.1259842,0.7923647,1.0016183,2500,50
0.2225845,0.34875447,0.57377714,0.9792946,0.028513055,0.105654106,0.20021452,-0.17415278,1.1958216,1.1891785,1.0094169,0.0014298023,0.0061817113,5.9565846e-05,3.3811528e-05,0.030177115,0.029659742,0.020580346,0.016622143,0.016600939,0.010528125,0.17003813199698925,0.30771601721644404,0.20033712573349477,0.508519098162651,0.4581009551882744,0.718094778060913,0.9657462179660797,0.9936231702566147,0.01838368414901197,0.04024306386709213,-0.22895164489746092,0.4577899150550365,-0.14673514030873774,0.5242404758930204,-0.44331278577446936,0.11070820949971667,0.9730486467480659,1.4680581152439116,0.9876678764820099,1.4772573024034499,0.831790316104889,1.2345390111207961,0.96762425,0.020273808,0.10717833,0.17717743,-0.16435644,1.1415982,1.129975,0.957636,2500,50
0.21955109,0.3682483,0.6060829,0.9775501,0.030635195,-0.06987444,0.46763307,-0.41860464,1.1173677,1.0406622,1.2250069,0.0010839709,0.00667878,7.699451e-05,4.0215305e-05,0.025437627,0.021719856,0.029563121,0.013160069,0.01132153,0.015869316,0.17064226120710374,0.2960253059864044,0.23218343071639538,0.5453734174370766,0.47936811074614527,0.7716020196676254,0.962935109436512,0.9938070952892304,0.020054007740691306,0.043525769934058184,-0.3653909005224705,0.23453160189092143,0.18734293431043625,0.7510452359914779,-0.7635748714208603,-0.0840417072176934,0.9206071764230728,1.3734564572572707,0.866875310242176,1.2623701483011245,1.0026356905698777,1.500952035188675,0.9651593,0.021425495,-0.079553336,0.44915846,-0.40999174,1.071416,0.99646366,1.1481462,2500,50
0.17779486,0.3891603,0.6199993,0.9717167,0.025095506,0.14774695,-0.0154318,-0.03670819,0.99022293,1.0202906,1.0674143,0.00057175354,0.007830939,4.6125966e-05,2.6739137e-05,0.019008793,0.020172894,0.022444356,0.011023415,0.012047786,0.011873924,0.14186407923698424,0.23800774961709975,0.23377008810639383,0.5803102776408194,0.4901675179600716,0.772247876226902,0.9612640857696533,0.9875767886638641,0.016753659257665275,0.036672133207321156,-0.11061255820095539,0.4285411439836024,-0.29355472400784494,0.25308322384953497,-0.33343218341469766,0.25021216571331023,0.8012101829051972,1.219872960448265,0.8345509558916092,1.2689057439565659,0.8823079392313957,1.3128388345241544,0.96412414,0.020421615,0.15760185,-0.011552102,-0.043049898,0.95445275,0.9747249,1.0211022,2500,50
0.2151616,0.5990755,0.46864942,0.97108936,0.020029325,-0.07980405,0.257546,0.095823966,0.89576066,1.0215623,0.90115744,0.0005959842,0.019655805,3.1258678e-05,2.2138993e-05,0.015774028,0.020280575,0.015053945,0.009620328,0.011562729,0.008365763,0.17533142417669295,0.26824923530220984,0.3601461790502071,0.8946743100881577,0.3679551646113396,0.5829338729381561,0.9629938200116157,0.9860126703977585,0.013168911822140217,0.03139949049800634,-0.32601934149861334,0.1792516015470028,-0.03898863643407821,0.5427491813898085,-0.1393455095589161,0.33233637809753414,0.7320483729243279,1.1176821500062943,0.8372666999697685,1.2632384717464447,0.745045106112957,1.100326207280159,0.9669994,0.019519472,-0.06517848,0.259771,0.08878927,0.8484676,0.9970831,0.8859782,2500,50
0.2582374,0.36620304,0.4126708,0.9645497,0.018375622,0.03435199,0.032979365,-0.17120998,0.9643394,1.0870265,1.1482849,0.0014951132,0.0067420173,1.5399499e-05,1.4984281e-05,0.018915398,0.023657463,0.027024137,0.010152203,0.013305051,0.013533391,0.19788953848183155,0.3512628436088562,0.22029218822717667,0.5482581943273543,0.3266096204519272,0.5306926026940345,0.9584364607930184,0.974201786518097,0.012518621794879437,0.028300372324883936,-0.2631142772734165,0.3098581761121749,-0.2635682575404644,0.3401586428284644,-0.49415646940469743,0.14915045946836467,0.7923831909894943,1.1779492408037184,0.8857902392745018,1.3387707978487013,0.9525230005383492,1.4060480505228041,0.9661006,0.017764384,0.022355318,0.025742553,-0.17203952,0.93615323,1.0500698,1.1120183,2500,50
