correlation_w0,correlation_w1,correlation_w2,correlation_mu_x,correlation_a,correlation_sigmasq,mean_correlation_states,median_correlation_states
0.9821368547418967,0.9843457382953181,0.9764705882352941,0.7592316926770708,0.6827851140456181,0.8054261704681873,0.8200302,0.8317853
0.9865546218487395,0.9857863145258102,0.9898199279711885,0.6570468187274909,0.6408163265306122,0.6375510204081631,0.83374286,0.8471571
0.9819447779111645,0.9828091236494597,0.9811764705882352,0.6253541416566627,0.7425210084033613,0.781704681872749,0.82642347,0.8626353
0.9847298919567826,0.9837695078031212,0.9835774309723888,0.368547418967587,0.7544297719087634,0.7090996398559423,0.8343101,0.86143816
0.9836734693877551,0.9796398559423769,0.9663865546218486,0.5361344537815126,0.760672268907563,0.6864345738295319,0.83826625,0.8589408
0.9883793517406962,0.9863625450180071,0.9725330132052822,0.5617767106842737,0.680672268907563,0.637358943577431,0.8367409,0.8454442
0.9852100840336133,0.9905882352941175,0.9899159663865545,0.6177671068427371,0.6687635054021608,0.7759423769507803,0.8285645,0.8571844
0.9824249699879951,0.9811764705882352,0.9900120048019206,0.6474429771908763,0.7667226890756302,0.6969987995198079,0.8299159,0.8554554
0.97906362545018,0.9859783913565426,0.9820408163265306,0.46468187274909956,0.619015606242497,0.6023049219687875,0.8305705,0.85989547
0.9832893157262904,0.99078031212485,0.9852100840336133,0.36153661464585835,0.6827851140456181,0.6995918367346938,0.8372449,0.8698114
0.9816566626650659,0.9835774309723888,0.9883793517406962,0.7653781512605041,0.7538535414165666,0.7521248499399759,0.8349478,0.8563691
0.9839615846338534,0.9942376950780313,0.9765666266506603,0.7210084033613444,0.6950780312124849,0.7250420168067226,0.8093783,0.84582597
0.9867466986794717,0.9789675870348139,0.9886674669867946,0.6666506602641057,0.5733013205282114,0.5426650660264105,0.84112614,0.8582239
0.9771428571428572,0.9722448979591836,0.9923169267707082,0.5845378151260504,0.6128691476590638,0.6463865546218487,0.8329558,0.8456836
0.9858823529411764,0.9919327731092438,0.9879951980792315,0.7361824729891956,0.7989915966386555,0.7385834333733493,0.84394544,0.87750363
0.9883793517406962,0.981752701080432,0.9796398559423769,0.6509963985594236,0.8772629051620647,0.4532533013205282,0.85279953,0.86054695
0.9855942376950779,0.9865546218487395,0.9723409363745497,0.6592557022809122,0.7600960384153662,0.5471788715486194,0.8290288,0.869712
0.9898199279711885,0.9825210084033614,0.9901080432172868,0.7135174069627851,0.8459543817527011,0.6819207683073228,0.82148015,0.8640753
0.9880912364945978,0.9916446578631452,0.9892436974789915,0.6168067226890757,0.5729171668667467,0.7571188475390156,0.81620437,0.851488
0.984249699879952,0.9831932773109243,0.9886674669867946,0.7599039615846337,0.6114285714285714,0.7619207683073229,0.8467143,0.8675905
0.9887635054021608,0.9903961584633854,0.975798319327731,0.721296518607443,0.6331332533013205,0.7212004801920768,0.81978214,0.8420748
0.9772388955582233,0.9799279711884753,0.9887635054021608,0.46055222088835535,0.7133253301320528,0.6770228091236495,0.8549802,0.8695321
0.9859783913565426,0.9808883553421368,0.9854981992797118,0.6955582232893157,0.6997839135654261,0.8100360144057623,0.8285013,0.85014594
0.9863625450180071,0.9878031212484993,0.987611044417767,0.39927971188475386,0.7120768307322929,0.6295798319327731,0.83491224,0.86881125
