correlation,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq
0.9296463105852424,0.9773542,0.9750554,0.15222512,0.10392629
0.6439136476545907,0.9864762,0.9689853,0.103048176,0.07061685
0.8804728018912075,0.9779107,0.9712685,0.2051762,0.13757107
0.9211589166356664,0.99853396,0.9768903,0.0730382,0.15771051
0.9438303673214692,0.993612,0.9721546,0.09224869,0.18507907
0.8147185868743475,0.9700758,0.96488446,0.061486475,0.071815975
0.9174374617498469,0.97892904,0.97642535,0.11732739,0.1079068
0.9304993699974801,0.9834273,0.98634124,0.15270266,0.12807947
0.8307051468205872,0.9690008,0.96852654,0.13077866,0.073587604
0.8519543518174073,0.9810764,0.95771563,0.23174207,0.21039166
0.8251483565934262,0.983515,0.9596866,0.085028514,0.16162057
0.8381530486121944,0.9643957,0.9669383,0.059301596,0.09133137
0.776130560522242,0.9696542,0.9849196,0.0512691,0.06356082
0.8430449401797606,0.9865117,0.9795178,0.052370496,0.13684842
0.8942355129420516,0.9925776,0.96319854,0.09116201,0.15179163
0.8047207228828915,0.96492136,0.9612817,0.066932246,0.14222045
0.7561475045900183,0.94933546,0.9700567,0.12744305,0.07217644
0.922379465517862,0.9877375,0.96769214,0.099906795,0.11129437
0.9305285541142164,0.98476386,0.9649077,0.18992428,0.09564314
0.8439685598742395,0.9828119,0.96655655,0.1269368,0.08744323
0.8697277669110675,0.9906661,0.96972156,0.03700781,0.124311
0.754317929271717,0.97299933,0.97463095,0.038638324,0.09958031
0.8292398929595718,0.96904236,0.97430104,0.1379338,0.10611284
0.6741055764223056,0.96812093,0.9717679,0.054031707,0.06297854
0.6128236352945411,0.9684612,0.9729652,0.053900674,0.0947833
0.73425010500042,0.95009804,0.96402186,0.0839294,0.03453731
0.9218922635690542,0.9815916,0.98444545,0.086765885,0.08323728
0.687820863283453,0.9541281,0.9810217,0.15328811,0.05128415
0.9458932235728943,0.9859996,0.95288754,0.08705212,0.44618118
0.8331805167220668,0.9526743,0.96824497,0.06424017,0.055132274
0.8872056928227712,0.9968025,0.986112,0.084487304,0.060808484
0.9679968319873278,0.9940807,0.9913321,0.15836008,0.22844999
0.9358393913575653,0.9871551,0.98840195,0.12278088,0.15229645
0.7535513662054648,0.97245145,0.955472,0.11812681,0.088829055
0.6729149796599185,0.9723012,0.986201,0.14519277,0.04759076
0.8761040164160655,0.97539973,0.9848304,0.060815692,0.052758973
0.8006868827475309,0.965347,0.9514515,0.11007629,0.13708635
0.9136504386017543,0.9991009,0.98657763,0.13867047,0.104828835
0.8777224868899475,0.99367565,0.9870606,0.074404195,0.03862738
0.8953965415861663,0.979386,0.9807543,0.22630507,0.11294102
0.9321617126468505,0.99566627,0.9703113,0.11293959,0.21941008
0.8388284113136453,0.9865821,0.97498626,0.10185542,0.04291324
0.7896354145416581,0.9622769,0.9544235,0.09923864,0.07651951
0.92388244752979,0.9777729,0.99697393,0.28426126,0.084215075
0.8086160344641378,0.9497452,0.98493105,0.16954474,0.060033694
0.9107758031032124,0.9729248,0.9664785,0.08919935,0.13057747
0.7646293305173221,0.9779978,0.975239,0.04917084,0.050765947
0.7685168660674643,0.9820505,0.97918224,0.105336525,0.047575854
0.7366662426649706,0.9924356,0.97144234,0.06007747,0.08250217
0.972444721778887,0.9967369,0.99386257,0.08360071,0.062431835
0.8857354469417877,0.98459685,0.9541269,0.14174524,0.19192338
0.8666631466525866,0.96370757,0.9607852,0.06612797,0.061675124
0.7649657158628634,0.96396756,0.987061,0.11202777,0.08842504
0.8117630230520922,0.95727724,0.9634144,0.12238806,0.14156556
0.9098163752655011,0.97469515,0.9795785,0.19643395,0.10987524
0.3917828471313885,0.97037345,0.92119205,0.058160983,0.049742423
0.9314303817215268,0.97699046,0.98116934,0.1040228,0.089505374
0.9318539354157416,0.9838534,0.98294747,0.085516214,0.07879955
0.7565643382573529,0.972546,0.95291954,0.082835175,0.08745441
0.8257093828375314,0.9728627,0.9797263,0.099963814,0.08394617
0.7647714774404254,0.97065294,0.9499701,0.11837668,0.11226499
0.9464200736802948,0.9978908,0.99244857,0.14541358,0.13860087
0.6185692582770331,0.95087534,0.96147233,0.105589345,0.08470097
0.7724140976563905,0.95394474,0.9548435,0.10789934,0.12684429
0.8304802179208717,0.9877102,0.9442887,0.07602007,0.11585708
0.9354518378073512,0.99601084,0.9946728,0.098096214,0.13071479
0.831821055284221,0.96976966,0.96897614,0.05432443,0.10569078
0.9223057372229488,0.97833407,0.9761537,0.07461553,0.15823758
0.8730230760923043,0.99008036,0.97453207,0.18910128,0.12716399
0.5222910491641967,0.931044,0.9240022,0.12433571,0.1024078
0.9036961587846352,0.9801338,0.9802952,0.2914698,0.22961657
0.8046627386509546,0.96998847,0.969024,0.16192694,0.06155352
0.9409977799911199,0.9611232,0.9977512,0.28277212,0.09964876
0.8850973323893296,0.9994332,0.9831505,0.06238379,0.04642086
0.9650329161316645,0.99852514,0.9956396,0.081566304,0.09406446
0.813065940263761,0.9562908,0.97750866,0.26994014,0.08053843
0.9181594806379225,0.98267025,0.9934523,0.11104302,0.08112781
0.9073310213240853,0.9782074,0.97864634,0.11960999,0.13767721
0.8728380833523333,0.990599,0.9846146,0.14883731,0.09288447
0.9381400405601621,0.9888642,0.9956857,0.133554,0.09657218
