correlation,generative_a,estimated_a,generative_sigmasq,estimated_sigmasq
0.8414227256909028,0.9620354,0.9555185,0.084031686,0.08254502
0.7938343753375013,0.9630991,0.9546041,0.06730218,0.049325787
0.9316219984879939,0.9847467,0.9902392,0.121249944,0.106887095
0.8692751251005003,0.97306323,0.9868817,0.3279701,0.2294815
0.9361623366493464,0.99874645,0.99047196,0.10156939,0.11046094
0.7642312169248676,0.96661985,0.973492,0.077091515,0.06488125
0.8382039288157151,0.97749907,0.97625035,0.45942894,0.29177287
0.9368621794487177,0.98161703,0.96647364,0.091353625,0.083784506
0.8719689918759674,0.9819179,0.9787211,0.21225756,0.27752835
0.7686535706142824,0.97380984,0.9701234,0.06118599,0.07106663
0.8506427945711782,0.99311674,0.95681846,0.07477876,0.1394895
0.9334784539138156,0.9982181,0.99786925,0.07120973,0.16531092
0.9102594170376682,0.9694539,0.97307557,0.20652176,0.18556528
0.5136025344101376,0.9643898,0.9794314,0.062817246,0.07341653
0.895694430777723,0.98699546,0.990383,0.05950885,0.10016216
0.6873467173868696,0.96325743,0.9818079,0.14024732,0.08101342
0.9262611450445802,0.98836124,0.9366745,0.052223545,0.09996157
0.6954913899655599,0.9756365,0.97051185,0.14331621,0.059093647
0.8671413245652982,0.99609315,0.9749791,0.10223043,0.08822722
0.6295206940827763,0.9449382,0.942866,0.10822936,0.08094793
0.9004272497089987,0.98905593,0.9657835,0.055019595,0.16572724
0.8663406813627254,0.9850033,0.9759813,0.07788665,0.10618033
0.7727766911067644,0.9706699,0.9481166,0.058456786,0.104737155
0.8126023544094176,0.9826646,0.95708895,0.08301466,0.16202642
0.8200923043692174,0.96837366,0.969598,0.13523535,0.08651976
0.9231662846651386,0.9996396,0.98036164,0.28297362,0.2261874
0.9161641126564507,0.9772681,0.9496251,0.14208353,0.34559172
0.9090268681074724,0.984468,0.97638386,0.13992839,0.22740985
0.8786737546950186,0.97437215,0.97836363,0.11537868,0.11662495
0.7332940371761487,0.97841173,0.9694739,0.09496532,0.31089705
0.8928527234108936,0.9914621,0.97211576,0.07259846,0.067081235
0.760067680270721,0.96009415,0.9580727,0.12045909,0.07836384
0.8864199296797187,0.9877042,0.9738597,0.08938889,0.19101927
0.8834612938451754,0.9859,0.9787018,0.25072232,0.12294392
0.83500414001656,0.9989115,0.9664064,0.097164415,0.24711828
0.8007459229836918,0.9555687,0.9613071,0.15202728,0.16025181
0.9254957339829358,0.9693588,0.9871677,0.3018435,0.14339873
0.9471590846363386,0.9943942,0.985898,0.06365604,0.114080414
0.7690429481717926,0.973044,0.95324826,0.1380224,0.10479665
0.7002132648530593,0.9443572,0.96263134,0.08637083,0.0659516
