alpha,beta,a0,nu_a0,w0,w1,w2,w3,nu_w0,nu_w1,nu_w2,nu_w3,alpha_var,beta_var,a0_var,nu_a0_var,w0_var,w1_var,w2_var,w3_var,nu_w0_var,nu_w1_var,nu_w2_var,nu_w3_var,posterior_q25_alpha,posterior_q975_alpha,posterior_q25_beta,posterior_q975_beta,posterior_q25_a0,posterior_q975_a0,posterior_q25_nu_a0,posterior_q975_nu_a0,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_w3,posterior_q975_w3,posterior_q25_nu_w0,posterior_q975_nu_w0,posterior_q25_nu_w1,posterior_q975_nu_w1,posterior_q25_nu_w2,posterior_q975_nu_w2,posterior_q25_nu_w3,posterior_q975_nu_w3,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,mean_subject_true_w3,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,sd_subject_true_w3,num_trials,num_subjects
6.873082,0.5272025,0.97567886,0.002534741,-0.1278124,0.11418479,-0.18849178,0.50653875,0.6959317,1.2950442,1.2376881,0.9954295,3.74047,0.03101125,5.3583562e-06,6.017427e-06,0.020968797,0.07160638,0.0677079,0.04474751,0.01253106,0.038999002,0.037965737,0.023601577,3.526258021593094,9.824753212928773,0.2420233350247145,0.8470336660742759,0.9706551879644394,0.9797027707099915,0.0002646869739692193,0.009442301117815077,-0.3979001514613628,0.17063382193446155,-0.4071862116456032,0.6340532183647155,-0.7219365149736404,0.34902526140213014,0.07846151962876322,0.9482171922922134,0.5202075079083442,0.9552743583917618,0.9706647112965584,1.7365653783082962,0.9183991774916649,1.6963935285806655,0.7436233848333359,1.3499002695083617,0.9780763,0.011138859,-0.107424304,0.14242631,-0.1763198,0.5329969,0.6982181,1.2006361,1.2368304,0.9582369,500,25
6.470182,0.54254377,0.9785116,0.02085692,-0.035883624,-0.054101024,-0.51258814,0.49147317,0.87173,1.1182307,1.1980989,0.84112793,2.9491324,0.023480995,5.9669597e-05,5.814192e-05,0.032102745,0.049569704,0.05769723,0.029391244,0.02035677,0.028745702,0.035815645,0.018170794,3.3348124027252197,9.622945594787597,0.23724943958222866,0.8314064770936966,0.9652262806892395,0.9955779209733009,0.00856263767927885,0.03789638197049498,-0.36998968869447707,0.30834012851119014,-0.46853485628962516,0.3953473903238773,-0.9587082266807556,-0.0408496655523778,0.1552964948117733,0.8360186398029327,0.6482909321784973,1.2176937252283095,0.840032322704792,1.490912640094757,0.8932396218180656,1.6071006953716276,0.6380349323153496,1.1656548887491225,0.97817516,0.015123272,-0.03765091,-0.039368656,-0.49011475,0.47511595,0.88706267,1.0959158,1.1169873,0.8571829,500,25
6.9712596,0.57139325,0.9886561,0.033229854,-0.15610704,0.27764037,-0.19675627,0.5131476,0.8906765,0.9768744,0.7472587,0.86636066,5.527743,0.050941184,7.269202e-05,9.314256e-05,0.032078713,0.042124465,0.02489,0.030417338,0.018609859,0.023491666,0.013851078,0.01818164,2.012890100479126,9.892006444931031,0.1278640802949667,0.9173937186598777,0.970758917927742,0.9996916592121124,0.013842114200815558,0.05299368472769855,-0.5119955882430076,0.20757803134620187,-0.1348617359995842,0.6887911722064018,-0.49552120417356493,0.12615544795989989,0.172067341953516,0.8667111679911613,0.6777868211269379,1.213952648639679,0.740067271888256,1.3196201562881469,0.5521857544779778,1.010135981440544,0.6514987528324128,1.190683606266975,0.97425544,0.016148916,-0.114438705,0.28001884,-0.22814171,0.52951217,0.86224204,0.9632286,0.74210304,0.87214744,500,25
7.7260804,0.99099845,0.9836564,0.022503449,0.24734469,0.28670448,-0.39236185,1.0058451,1.017137,0.9176296,0.90031815,1.155535,2.3730886,0.0667817,7.094181e-05,6.743184e-05,0.04608208,0.033591207,0.033334196,0.058335863,0.024357408,0.020998986,0.019639222,0.03159984,4.705949473381042,9.901535391807556,0.5664319023489952,1.4738471776247022,0.9701296001672745,0.999091063439846,0.010049638943746686,0.038717432878911495,-0.18737421557307243,0.6801016509532928,-0.09153162315487862,0.6282574653625487,-0.7542860671877861,-0.04231289103627207,0.5414728671312332,1.4597168326377867,0.756755942106247,1.379566463828087,0.6851156860589981,1.2495196640491486,0.6687469929456711,1.2163537770509718,0.8557161957025528,1.5540052860975264,0.98395246,0.0146766165,0.30033764,0.28331327,-0.39963648,0.9583055,0.96808475,0.8857361,0.8054052,1.0461532,500,25
2.6796033,0.25625113,0.9725105,0.016503464,-0.14320053,0.39257842,-0.11694466,1.0858694,1.0428369,1.1460905,0.88647264,1.407736,2.430048,0.034529313,3.9640643e-05,7.052338e-05,0.047138788,0.05534241,0.03397349,0.08050321,0.028657975,0.030631403,0.020127803,0.051541165,0.843271228671074,7.1012749671936035,0.0477067094296217,0.7705606296658516,0.9610936895012856,0.9880846038460731,0.006117110175546259,0.03678201148286461,-0.5746257916092873,0.25764434486627574,-0.0459834523499012,0.867801521718502,-0.48577819019556046,0.24156971089541893,0.519438461959362,1.6365180432796478,0.7822795450687409,1.4297517150640486,0.8487094894051552,1.5602862060070037,0.6530720978975296,1.2129836589097975,1.0564644664525986,1.9685003876686096,0.97701627,0.013297723,-0.13909821,0.39098862,-0.16192028,1.0502532,0.91580796,0.9972989,0.7983273,1.2698821,500,25
6.0227976,0.57282543,0.9905112,0.030075165,0.2186017,0.46711183,0.079742976,0.7865961,1.0114642,1.0626303,1.0067995,1.0950972,6.636026,0.07920077,9.126759e-05,9.498989e-05,0.04156825,0.050717965,0.04558453,0.0524894,0.024750583,0.028258527,0.025076343,0.029489834,2.0316309869289397,9.870189261436462,0.1595345988869667,1.0664870262145996,0.9703813627362251,0.9999055236577987,0.013261207356117665,0.05017727725207805,-0.17413769625127315,0.613042525947094,0.019350840896368064,0.8849930107593535,-0.3401516482234001,0.4893617570400236,0.316109399497509,1.2468501955270768,0.7584224179387092,1.363942492008209,0.7807303205132484,1.4534069001674652,0.7487670749425888,1.3600058257579801,0.8095738872885704,1.46884508728981,0.9840851,0.0141808735,0.19472246,0.4254288,0.038150426,0.7857165,0.96738565,0.96114504,0.94997054,1.002847,500,25
7.6901217,0.5114064,0.975292,0.014311214,-0.092157245,0.31545818,-0.042090867,0.89153624,1.0266851,1.0724487,0.83557045,0.74008,2.3181067,0.012149564,3.0141298e-05,4.4144304e-05,0.0442382,0.045959555,0.030604813,0.024324141,0.022889148,0.02602235,0.01744871,0.014573266,4.442421448230744,9.935993313789368,0.30104815736413004,0.7360447838902473,0.9648785695433617,0.9870705783367157,0.004822221386712044,0.029631422972306608,-0.4984956607222557,0.34680787920951844,-0.11437341570854187,0.7125497490167618,-0.37608155235648155,0.31481363028287884,0.5756332248449325,1.1934940934181213,0.777570067346096,1.376924180984497,0.8145308583974838,1.4328145921230313,0.6186052069067955,1.1437152057886122,0.5444709032773971,1.0034440279006955,0.9731741,0.017485559,-0.071995765,0.32461676,-0.10095699,0.94007915,1.0533302,1.0191256,0.7915443,0.7410089,500,25
5.8094926,0.60028243,0.9823792,0.023837976,-0.48050374,-0.0878425,-0.3107711,0.41365683,1.2632774,1.0634392,0.9326139,1.1082616,3.8936813,0.05724153,5.989741e-05,6.201706e-05,0.065150425,0.045484446,0.03352491,0.051067393,0.036262464,0.02880919,0.023129072,0.028772553,2.786541032791138,9.765870070457458,0.2612607508897781,1.1587522506713868,0.9690485611557961,0.9984447255730629,0.009972578613087535,0.041191893443465216,-0.9572050675749779,0.036784356832504014,-0.504884272813797,0.34562053158879275,-0.659477099776268,0.04823790676891804,-0.04834598600864409,0.8536648035049438,0.9611477151513099,1.7051532506942748,0.7856005057692528,1.47256897687912,0.6995127677917481,1.290084034204483,0.8327084764838218,1.49774050116539,0.9790675,0.017704679,-0.48695987,-0.026431112,-0.31578755,0.4110483,1.1725503,1.0088093,0.9443489,1.0129925,500,25
6.7148666,0.6777472,0.9754884,0.04404696,-0.059243318,0.04024259,-0.3138648,0.37620798,1.039293,1.1120903,1.012849,0.97159785,3.5576446,0.05177476,0.00020952307,0.0002188879,0.043217804,0.053680196,0.03960314,0.038325716,0.024744447,0.02876859,0.024996178,0.02377578,3.078348273038864,9.793705415725707,0.2851169712841511,1.1152656525373459,0.9485832527279854,0.9963098809123039,0.01831763801164925,0.07500417251139879,-0.4839810788631439,0.32932692468166347,-0.4059125982224941,0.4970161557197571,-0.7037926882505416,0.07595978081226348,-0.000529902428388595,0.7785169154405591,0.7860393300652504,1.3999595880508422,0.8353673368692398,1.5165938466787334,0.7618173286318779,1.3527192682027815,0.7200280949473381,1.3298795342445373,0.9718792,0.017757216,-0.09121153,0.037241936,-0.34117106,0.38263777,0.96816796,1.062086,0.93299794,0.95208895,500,25
7.0970287,0.69297564,0.9662832,0.033454224,-0.07026027,0.25471592,-0.39338595,0.41039875,0.71926504,1.0754417,1.050333,1.1230718,3.9113295,0.060247317,0.00012607203,0.0003280476,0.021110242,0.046723153,0.045796398,0.052329056,0.012434078,0.028383428,0.026001435,0.03257884,3.3511728048324585,9.912511658668517,0.2757632195949555,1.126879632472992,0.9480883121490479,0.9928343534469605,0.008849073178134858,0.07570818960666656,-0.35758365988731383,0.21238839812576762,-0.21569217257201673,0.6618810445070267,-0.8373238265514373,0.023658056557178384,-0.050552660226821894,0.8406091630458831,0.5426391795277595,0.9608745947480201,0.8030226930975914,1.4570144444704056,0.7847592070698738,1.3997606694698332,0.8312691897153854,1.5671860516071319,0.9665856,0.015822543,-0.04115142,0.21748032,-0.396585,0.41549674,0.6960219,1.0251036,0.97329366,1.0209944,500,25
